incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Apple Fire,FALSE,2020-11-10T14:33:41Z,2020-07-31T18:08:39Z,"Unified Command: USFS - San Bernardino, and Yucaipa City Fire",Riverside,"off of Oak Glen Road and Apple Tree Lane, North of Cherry Valley",,"United States Forest Service, CAL FIRE / Riverside County Fire , Cooperating Agencies ",-116.9617,33.99139,,,7/31/20,N,FALSE,FALSE
Cowhead Fire,FALSE,2020-08-17T11:05:49Z,2020-07-31T20:06:14Z,Bureau Land of Management Northern California District,Modoc,"Off of County Road 1 and County Road 201, Northeast of Bidwell",,Bureau Land of Management Northern California District,-120.17183,41.52261,,,7/31/20,N,FALSE,FALSE
Stump Fire,TRUE,2020-11-10T14:26:03Z,2020-08-01T16:39:21Z,Lassen National Forest ,Tehama,"Childs Meadow and Highway 89/36, Northeast of Mineral",684,Lassen National Forest,-121.6415,40.34659,2020-09-14T14:25:00Z,9/14/20,8/1/20,N,FALSE,FALSE
Castaic Fire,TRUE,2020-11-10T14:25:24Z,2020-08-01T18:04:58Z,Angeles National Forest,Los Angeles,"Main Ramp Road and Lake Hughes Road, South of Castaic Lake  ",178,Angeles National Forest ,-118.59699,34.51853,2020-09-14T14:25:00Z,9/14/20,8/1/20,N,FALSE,FALSE
Pond Fire,TRUE,2020-08-09T19:17:38Z,2020-08-01T18:44:52Z,Unified Command: United States Forest Service,San Luis Obispo,"Kata Creek Road and Oak Creek Place, East of Santa Margarita",1962,"CAL FIRE San Luis Obispo Unit , Cooperating Agencies: SLO City Fire, USFS, SLO County Sheriff, Five Cities Fire, Morro Bay Fire, PG&E, CDCR, CCC, CAL OES, Big Bear Fire Dept.",-120.47346,35.43128,2020-08-09T19:17:00Z,8/9/20,8/1/20,N,TRUE,FALSE
Sophia Fire,TRUE,2020-08-02T09:12:41Z,2020-08-02T09:12:41Z,CAL FIRE Amador-El Dorado Unit,El Dorado,Sophia Park Way and Alexandra Dr near El Dorado Hills in El Dorado County. ,36,,-121.103299,38.686478,2020-08-02T09:11:00Z,8/2/20,8/2/20,N,TRUE,FALSE
Water Fire,TRUE,2020-08-04T15:13:28Z,2020-08-02T15:11:20Z,CAL FIRE/ Riverside County Fire Department,Riverside,Whitewater Canyon Road at the Whitewater Preserve In Riverside County. ,52,CAL FIRE/ Riverside County Fire Department,-116.641846,33.924086,2020-08-04T15:12:00Z,8/4/20,8/2/20,N,TRUE,FALSE
North Fire,TRUE,2020-08-13T11:27:37Z,2020-08-02T16:51:26Z,Bureau of Land Management Nevada-Carson District,Lassen,"Highway 395 and Highway 70, east of Chilcoot in Lassen County, ",6882,Bureau of Land Management Nevada-Carson District,-120.44811,40.36764,2020-08-10T11:27:00Z,8/10/20,8/2/20,N,FALSE,FALSE
Sites Fire ,TRUE,2020-08-05T07:16:44Z,2020-08-02T17:13:36Z,CAL FIRE Sonoma Lake Napa Unit,Colusa,"Sites Lodoga Road and Campground Road, Southeast of Stonyford in Colusa County. ",560,"CAL FIRE Sonoma Lake Napa Unit, Cooperating Agencies: Indian Valley Fire & Rescue, Williams Fire Protection Authority, Maxwell Fire Protection District, Madison Fire Protection District, Willow Oak Fire Protection District, Colusa Fire Department, California Highway Patrol, and Colusa County Sheriffs Office.",-122.48525,39.31313,2020-08-05T07:16:00Z,8/5/20,8/2/20,N,TRUE,FALSE
Post Fire,TRUE,2020-08-24T14:47:09Z,2020-08-02T20:49:07Z,Los Angeles County Fire,Los Angeles,"NB I-5 and High way 138, South of Gorman in Los Angeles County. ",120,Los Angeles County Fire,-118.21608,34.04447,2020-08-04T14:34:00Z,8/4/20,8/2/20,N,TRUE,FALSE
Beale Fire,TRUE,2020-08-13T11:22:58Z,2020-08-02T22:24:59Z,,Yuba,"Doolittle Dr. and Warren Shingle Road, near Beale Air Force Base in Yuba County. ",600,Beale Air Force Base,-121.38178,39.11307,2020-08-03T07:22:00Z,8/3/20,8/2/20,N,FALSE,FALSE
Elsmere Fire,TRUE,2020-08-24T14:47:49Z,2020-08-03T15:45:29Z,Los Angeles County Fire Department and USFS Angeles National Forest,Los Angeles,"Elsmere Grapevine Rd and Santa Clarita Truck Trail, Newhall",200,"Los Angeles County Fire Department, USFS Angeles National Forest",-118.49731,34.3428,2020-08-06T13:32:00Z,8/6/20,8/3/20,N,FALSE,FALSE
Stagecoach Fire,TRUE,2020-08-18T17:51:29Z,2020-08-03T17:33:03Z,"Unified Command: Kern County Fire Department,  Bureau of Land Management and Sequoia National Forest",Kern,Stagecoach Drive and Piute Meadow Road South of Lake Isabella in Kern County. ,7760,Kern County Fire,-118.53361,35.43044,2020-08-18T17:50:00Z,8/18/20,8/3/20,N,TRUE,FALSE
166 Fire,FALSE,2020-11-10T14:24:14Z,2020-08-03T20:27:11Z,Bureau of Land Management - California,San Luis Obispo,"Highway 166 and Highway 33, East of Cuyama in San Luis Obispo County",,Bureau of Land Management - California,-119.5795,34.93442,,,8/3/20,N,FALSE,FALSE
Trimmer Fire,TRUE,2020-11-10T14:23:45Z,2020-08-04T09:44:14Z,USFS Sierra National Forest,Fresno,"Big Creek Rd and Trimmer Springs Rd, Sycamore Flats",594,USFS Sierra National Forest,-119.2439,36.90933,2020-08-20T14:23:00Z,8/20/20,8/4/20,N,FALSE,FALSE
Pass Fire,TRUE,2020-08-05T07:20:14Z,2020-08-04T17:18:17Z,CAL FIRE San Luis Obispo Unit ,San Luis Obispo,"Hwy 41, northeast of Shandon",280,,-120.40457,35.61521,2020-08-05T07:19:00Z,8/5/20,8/4/20,N,TRUE,FALSE
Fort Fire,TRUE,2020-08-07T07:19:08Z,2020-08-06T08:24:00Z,Kern County Fire Department,Kern,Grapevine Rd and I-5,277,,-118.92967,34.93929,2020-08-07T07:18:00Z,8/7/20,8/6/20,N,TRUE,FALSE
Texas Fire,TRUE,2020-11-10T14:22:20Z,2020-08-06T15:37:43Z,Angeles National Forest & Los Angeles County Fire Department,Los Angeles,Texas Canyon Rd and Bouquet Canyon Rd,210,Angeles National Forest,-118.46115,-118.46115,2020-09-14T14:22:00Z,9/14/20,8/6/20,N,FALSE,FALSE
Mina Fire,TRUE,2020-08-12T19:15:36Z,2020-08-10T18:31:57Z,CAL FIRE Mendocino Unit,Mendocino,Hopper Ln and Crawford Rd,177,Cooperating Agencies: California Department of Corrections and Mendocino County Sheriff’s Department,-123.262437,39.82454,2020-08-12T19:15:00Z,8/12/20,8/10/20,N,TRUE,FALSE
Duluth Fire,TRUE,2020-08-13T14:26:10Z,2020-08-10T18:58:13Z,Placer County Fire Department and Roseville Fire Department,Placer,Duluth Ave and Nichols Dr,65,,-121.318472,38.81111,2020-08-11T14:25:00Z,8/11/20,8/10/20,N,FALSE,FALSE
R-1 Fire,TRUE,2020-08-12T16:47:37Z,2020-08-11T07:37:23Z,Bureau of Land Management Northern California District,Lassen,Horse Lake Mountain,285,,-120.549595,40.590714,2020-08-12T16:46:00Z,8/12/20,8/11/20,N,FALSE,FALSE
Soda Fire,TRUE,2020-08-12T16:23:22Z,2020-08-12T11:43:49Z,Kern County Fire Department,Kern,"Soda Lake Rd and Hwy 33, south of Maricopa",424,Kern County Fire Department,-119.444977,34.962524,2020-08-12T16:22:00Z,8/12/20,8/12/20,N,FALSE,FALSE
Lake Fire,TRUE,2020-09-29T07:01:32Z,2020-08-12T17:13:02Z,Angeles National Forest and Los Angeles County Fire Department,Los Angeles,"Lake Hughes Rd and Prospect Rd, southwest Lake Hughes ",31089,"Angeles National Forest, Los Angeles County Fire Department, Cooperating Agencies: County of Los Angeles Sheriff’s Department, California Highway Patrol, County of Los Angeles Public Works, County of Los Angeles Animal Care & Control, County of Los Angeles Parks & Recreation, Red Cross, and Southern California Edison., Information on Preparing to Evacuate: LA County Fire Department Ready Set Go at: www.fire.lacounty.gov/rsg, Incident Information Line:, Incident Media Line:",-118.452,34.679,2020-09-28T06:59:00Z,9/28/20,8/12/20,N,FALSE,FALSE
