incident_county,incident_acres_burned,incident_cooperating_agencies,fire_started,fire_extinguished,days_of_fire
Glenn,75.0,CAL FIRE Tehama-Glenn Unit,2018-05-28,2019-01-04,221.0
Stanislaus,63.0,CAL FIRE Santa Clara Unit,2018-05-29,2019-01-04,220.0
San Luis Obispo,25.0,CAL FIRE San Luis Obispo Unit,2018-05-29,2019-01-04,220.0
Alameda,484.0,CAL FIRE Santa Clara Unit,2018-05-30,2019-01-04,219.0
Yolo,14.0,CAL FIRE Sonoma-Lake-Napa Unit ,2018-06-01,2019-01-04,217.0
Glenn,127.0,Mendocino National Forest ,2018-06-01,2019-01-04,217.0
Tehama,23.0,CAL FIRE Tehama-Glenn Unit,2018-06-01,2019-01-04,217.0
Contra Costa,23.0,CAL FIRE Santa Clara Unit,2018-06-02,2019-01-04,216.0
Orange,175.0,Orange County Fire,2018-06-02,2019-01-04,216.0
Riverside,10.0,CAL FIRE/Riverside County Fire,2018-06-02,2019-01-04,216.0
Fresno,13.0,CAL FIRE Fresno-Kings Unit,2018-06-02,2019-01-04,216.0
Tehama,10.0,CAL Fire Tehama Glenn Unit,2018-06-03,2019-01-04,215.0
Riverside,11.0,CAL FIRE/ Riverside County Fire,2018-06-03,2019-01-04,215.0
Riverside,17.0,CAL FIRE/ Riverside County Fire,2018-06-03,2019-01-04,215.0
San Benito,35.0,CAL FIRE San Benito-Monterey Unit,2018-06-03,2019-01-04,215.0
San Luis Obispo,12.0,CAL FIRE San Luis Obispo Unit,2018-06-03,2019-01-04,215.0
Siskiyou,37.0,CAL FIRE Siskiyou Unit,2018-06-03,2019-01-04,215.0
San Diego,38.0,San Diego City Fire Dept.,2018-06-03,2019-01-04,215.0
San Diego,10.0,San Miguel FPD,2018-06-03,2019-01-04,215.0
Los Angeles,1352.0,Unified Command: US Forest Service and Los Angeles County FD,2018-06-04,2019-01-04,214.0
Siskiyou,12.0,CAL FIRE Siskiyou Unit,2018-06-04,2019-01-04,214.0
San Benito,1314.0,CAL FIRE San Benito-Monterey,2018-06-04,2019-01-04,214.0
San Benito,513.0,CAL FIRE San Benito-Monterey,2018-06-04,2019-01-04,214.0
Madera,300.0,CAL FIRE Madera-Mariposa-Merced ,2018-06-04,2019-01-04,214.0
San Benito,64.0,CAL FIRE San Benito-Monterey,2018-06-04,2019-01-04,214.0
Sonoma,10.0,Schell-Vista Fire Protection District ,2018-06-05,2019-01-04,213.0
San Diego,12.0,CAL FIRE San Diego Unit,2018-06-05,2019-01-04,213.0
San Diego,265.0,CAL FIRE San Diego Unit,2018-06-06,2019-01-04,212.0
San Joaquin,62.0,CAL FIRE Amador - El Dorado Unit,2018-06-11,2019-01-04,207.0
Merced,200.0,CAL FIRE Madera-Mariposa-Merced ,2018-06-07,2019-01-04,211.0
Tehama,2956.0,CAL FIRE Tehama-Glenn Unit,2018-06-09,2019-01-04,209.0
Glenn,2290.0,CAL FIRE Tehama-Glenn Unit,2018-06-09,2019-01-04,209.0
Marin,12.0,San Rafael Fire ,2018-06-09,2019-01-04,209.0
Los Angeles,175.0,Los Angeles County,2018-06-09,2019-01-04,209.0
Monterey,96.0,Fort Hunter Liggett,2018-06-09,2019-01-04,209.0
San Benito,215.0,CAL FIRE San Benito-Monterey Unit,2018-06-12,2019-01-04,206.0
San Luis Obispo,60.0,CAL FIRE San Luis Obispo Unit,2018-06-13,2019-01-04,205.0
Orange,155.0,Orange County Fire,2018-06-11,2019-01-04,207.0
Riverside,154.0,CAL FIRE / Riverside County Fire,2018-06-12,2019-01-04,206.0
Los Angeles,20.0,Los Angeles City Fire Department,2018-06-12,2019-01-04,206.0
Tehama,70.0,CAL FIRE Tehama-Glenn Unit,2018-06-13,2019-01-04,205.0
Riverside,20.0,CAL FIRE / Riverside County Fire,2018-06-14,2019-01-04,204.0
Butte,20.0,CAL FIRE Butte Unit,2018-06-14,2019-01-04,204.0
San Luis Obispo,60.0,CAL FIRE San Luis Obispo Unit,2018-06-14,2019-01-04,204.0
Lassen,646.0,Northern California District Bureau of Land Management ,2018-06-14,2019-01-04,204.0
Merced,4564.0,CAL FIRE Madera-Mariposa-Merced ,2018-06-15,2019-01-04,203.0
Madera,60.0,CAL FIRE Madera-Mariposa-Merced ,2018-06-15,2019-01-04,203.0
Mariposa,53.0,CAL FIRE Madera-Mariposa-Merced ,2018-06-15,2019-01-04,203.0
Butte,40.0,CAL FIRE Butte Unit/Butte County Fire Department,2018-06-16,2019-01-04,202.0
Lake,32.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-06-16,2019-01-04,202.0
Contra Costa,25.0,CAL FIRE Santa Clara Unit,2018-06-16,2019-01-04,202.0
Amador,17.0,CAL FIRE Amador-El Dorado Unit,2018-06-17,2019-01-04,201.0
,1202.0,Bureau of Land Management Carson City District Office,2018-06-17,2019-01-04,201.0
Alameda,20.0,CAL FIRE Santa Clara Unit,2018-06-17,2019-01-04,201.0
Merced,185.0,CAL FIRE Madera-Mariposa-Merced ,2018-06-17,2019-01-04,201.0
Mariposa,115.0,CAL FIRE Madera-Mariposa-Merced Unit,2018-06-18,2019-01-04,200.0
Contra Costa,40.0,Unified Command: CAL FIRE Santa Clara Unit and San Ramon Valley Fire Department,2018-06-19,2019-01-04,199.0
Monterey,10.0,CAL FIRE San Benito-Monterey Unit,2018-06-19,2019-01-04,199.0
San Luis Obispo,1500.0,Camp Roberts,2018-06-20,2019-01-04,198.0
San Luis Obispo,10.0,CAL FIRE San Luis Obispo Unit,2018-06-21,2019-01-04,197.0
Shasta,328.0,CAL FIRE Shasta-Trinity Unit,2018-06-23,2019-01-04,195.0
Tehama,3716.0,"CAL FIRE Tehama-Glenn Unit, Tehama County Fire Department, Tehama County Sheriff Department, CCC, CDCR.",2018-06-23,2019-01-04,195.0
Tehama,170.0,Tehama County Fire Department,2018-06-23,2019-01-04,195.0
Tehama,268.0,"CAL FIRE Tehama-Glenn Unit, Unified Command with CAL FIRE and Red Bluff City Fire Department, Tehama County Fire, Tehama County Sheriffs, California Highway Patrol, Red Bluff Police Department, USFS, Willows Fire Department, Artois Fire Department, Orland Fire Protection District, Corning Fire Department, Hamilton Fire Department",2018-06-23,2019-01-04,195.0
Lake,15185.0,"CAL FIRE Sonoma-Lake-Napa Unit, Lake County OES, California Department of Corrections and Rehabilitation, California Conservation Corps, Bureau of Land Management, California Highway Patrol and PG&E.",2018-06-23,2019-01-04,195.0
Los Angeles,62.0,Los Padres National Forest,2018-06-23,2019-01-04,195.0
Colusa,75.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-07-04,2019-01-04,184.0
Kern,95.0,CAL FIRE Kern County Fire,2018-06-29,2019-01-04,189.0
Shasta,1678.0,"Unified Command: CAL FIRE and City of Redding Fire Department, Shasta County Fire Department, Redding Fire Department, Happy Valley Fire Department, Shasta Lake Fire Protection District, Cottonwood Fire Department, Cal OES, Bureau of Land Management",2018-06-24,2019-01-04,194.0
Tuolumne,163.0,CAL FIRE Tuolumne-Calaveras Unit,2018-06-24,2019-01-04,194.0
Calaveras,80.0,CAL FIRE Tuolumne-Calaveras Unit,2018-06-24,2019-01-04,194.0
Merced,68.0,CAL FIRE Madera-Mariposa-Merced Unit,2018-06-24,2019-01-04,194.0
Mendocino,90.0,CAL FIRE Mendocino Unit,2018-07-05,2019-01-04,183.0
San Joaquin,12300.0,CAL FIRE Tuolumne-Calaveras Unit,2018-06-29,2019-01-04,189.0
Butte,10.0,CAL FIRE Butte Unit/Butte County Fire Department,2018-06-29,2019-01-04,189.0
Trinity,300.0,"CAL FIRE Shasta Trinity Unit, Shasta County Fire Department, California Conservation Corps, Cal OES",2018-06-28,2019-01-04,190.0
Monterey,375.0,CAL FIRE San Benito-Monterey Unit,2018-06-26,2019-06-21,360.0
Madera,4064.0,Sierra National Forest,2018-06-11,2019-01-04,207.0
Fresno,76.0,CAL FIRE Fresno-Kings Unit,2018-06-27,2019-01-04,191.0
Butte,347.0,CAL FIRE Butte Unit - Butte County Fire Department,2018-06-26,2019-01-04,192.0
San Luis Obispo,260.0,CAL FIRE San Luis Obispo Unit,2018-06-26,2019-01-04,192.0
Lassen,441.0,CAL FIRE Lassen Modoc Unit,2018-06-27,2019-01-04,191.0
Siskiyou,63.0,Klamath National Forest,2018-06-27,2019-01-04,191.0
Butte,191.0,CAL FIRE Butte Unit/Butte County Fire Department,2018-07-04,2019-01-04,184.0
Sacramento,30.0,Unified Command: CAL FIRE Amador-El Dorado Unit and Sacramento Metro Fire,2018-06-29,2019-01-04,189.0
Contra Costa,268.0,Unified Command: CAL FIRE and Contra Costa County Fire Department,2018-06-29,2019-01-04,189.0
Santa Clara,70.0,CAL FIRE Santa Clara Unit,2018-06-29,2019-01-04,189.0
San Bernardino,33.0,San Bernardino National Forest,2018-06-30,2019-01-04,188.0
"Napa, Yolo",90288.0,"CAL FIRE Sonoma-Lake-Napa Unit, California Department of Corrections and Rehabilitation, Cal OES, California Highway Patrol, California Conservation Corps, Yolo County OES, Yolo County Sheriff, Solano County Sheriff, Napa County Sheriff, PG&E, Bureau of Indian Affairs, Yocha Dehe Wintun Nation, Bureau of Land Management, United States Forest Service, California Air National Guard and California National Guard.",2018-06-30,2019-01-04,188.0
Riverside,63.0,CAL FIRE / Riverside County Fire,2018-07-04,2019-01-04,184.0
Tehama,33.0,CAL FIRE Tehama-Glenn Unit,2018-07-14,2019-01-04,174.0
Madera,12.0,CAL FIRE Madera-Mariposa-Merced ,2018-07-10,2019-01-04,178.0
Siskiyou,215.0,Klamath National Forest,2018-07-01,2019-01-04,187.0
San Diego,504.0,"Unified Command: CAL FIRE San Diego, Alpine Fire District and Cleveland National Forest",2018-07-06,2019-01-04,182.0
Contra Costa,45.0,Moraga-Olinda Fire District ,2018-07-02,2019-01-04,186.0
San Diego,10.0,CAL FIRE San Diego Unit / San Diego County Fire Authority,2018-07-06,2019-01-04,182.0
El Dorado,316.0,CAL FIRE Amador-El Dorado Unit,2018-07-04,2019-01-04,184.0
Siskiyou,38008.0,"CAL FIRE Siskiyou Unit, Siskiyou County Sheriff’s Department, California Department of Corrections and Rehabilitation, Siskiyou County Office of Emergency Services, Bureau of Land Management, California Conservation Corps.",2018-07-05,2019-01-04,183.0
Amador,825.0,"CAL FIRE Amador - El Dorado Unit, Amador County FD, Amador County Sheriff, Sac Metro FD, Diamond Springs FD, CHP, USFS, ENF, Shingle Springs Miwok Tribe FD, Garden Valley Fire Protection District, PG&E, Sacramento Regional Incident Management Team",2018-07-06,2019-01-04,182.0
San Bernardino,1350.0,"San Bernardino National Forest , BLM, NPS, California Highway Patrol, California Office of Emergency Services, San Bernardino County Office of Emergency Service, CALFIRE, CALTRANS, San Bernardino County Animal Control, American Red Cross, So California Edison",2018-07-06,2019-01-04,182.0
Modoc,2100.0,BLM Northern District (NOD) ,2018-07-13,2019-01-04,175.0
Santa Barbara,113.0,Santa Barbara County Fire,2018-07-06,2019-01-04,182.0
Santa Clara,116.0,CAL FIRE Santa Clara Unit,2018-07-06,2019-01-04,182.0
Butte,962.0,Chico City Fire,2018-07-12,2019-01-04,176.0
San Bernardino,12.0,CAL FIRE San Bernardino Unit,2018-07-13,2019-01-04,175.0
Mariposa,96901.0,USFS Sierra National Forest ,2018-07-13,2019-01-04,175.0
Kern,62.0,Kern County Fire Department,2018-07-08,2019-01-04,180.0
Butte,11.0,CAL FIRE Butte Unit,2018-07-10,2019-01-04,178.0
Santa Clara,70.0,Unitied Command: CAL FIRE & San Jose City Fire Department,2018-07-10,2019-01-04,178.0
Santa Clara,51.0,CAL FIRE Santa Clara Unit,2018-07-10,2019-01-04,178.0
Modoc,52.0,US Forest Service - Modoc National Forest,2018-07-14,2019-01-04,174.0
San Benito,278.0,CAL FIRE San Benito-Monterey,2018-07-11,2019-01-04,177.0
Inyo,2883.0,Inyo National Forest Service ,2018-07-08,2019-01-04,180.0
Shasta,31.0,CAL FIRE Shasta-Trinity Unit,2018-07-08,2019-01-04,180.0
Contra Costa,56.0,CAL FIRE Santa Clara Unit,2018-07-08,2019-01-04,180.0
Alameda,640.0,CAL FIRE Santa Clara Unit,2018-07-08,2019-01-04,180.0
,280.0,East Fork Fire and Paramedic District / Bureau of Land Management,2018-07-09,2019-01-04,179.0
San Bernardino,100.0,San Bernardino National Forest ,2018-07-06,2019-01-04,182.0
Madera,11.0,CAL FIRE Madera-Mariposa-Merced ,2018-07-09,2019-01-04,179.0
Lake,80.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-07-09,2019-01-04,179.0
Tehama,856.0,CAL FIRE Tehama-Glenn Unit,2018-07-09,2019-01-04,179.0
San Benito,116.0,CAL FIRE San Benito-Monterey,2018-07-12,2019-01-04,176.0
Lassen,14.0,CAL FIRE Lassen-Modoc Unit,2018-07-14,2019-01-04,174.0
Siskiyou,224.0,CAL FIRE Siskiyou Unit,2018-07-15,2019-01-04,173.0
Lassen,56.0,CAL FIRE Lassen-Modoc Unit,2018-07-15,2019-01-04,173.0
Humboldt,16.0,CAL FIRE Humboldt-Del Norte Unit,2018-07-15,2019-01-04,173.0
Lassen,32.0,CAL FIRE Lassen-Modoc Unit,2018-07-15,2019-01-04,173.0
Lassen,89.0,CAL FIRE Lassen-Modoc Unit,2018-07-15,2019-01-04,173.0
Tehama,50.0,CAL FIRE Tehama-Glenn Unit,2018-07-15,2019-01-04,173.0
Humboldt,3674.0,Hoopa Valley Tribe ,2018-08-16,2019-01-04,141.0
San Luis Obispo,14.0,CAL FIRE San Luis Obispo Unit,2018-07-17,2019-01-04,171.0
San Diego,28.0,CAL FIRE San Diego County Fire Authority,2018-07-17,2019-01-04,171.0
Siskiyou,10.0,CAL FIRE Siskiyou Unit,2018-07-17,2019-01-04,171.0
Santa Barbara,77.0,Santa Barbara County Fire,2018-07-18,2019-01-04,170.0
Yolo,822.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-07-18,2019-01-04,170.0
Butte,43.0,CAL FIRE Butte Unit,2018-07-19,2019-01-04,169.0
Mariposa,40.0,CAL FIRE Madera-Mariposa-Merced Unit,2018-07-19,2019-01-04,169.0
San Diego,13.0,"CAL FIRE San Diego Unit, SDSO",2018-07-20,2019-01-04,168.0
Riverside,282.0,Unified Command: CAL FIRE/Riverside County Fire Department and Corona City Fire ,2018-07-19,2019-01-04,169.0
Shasta,63.0,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Shasta Fire Department, Millville Fire Protection District, Mountain Gate Fire Protection District, Bureau of Land Management (BLM), California Department of Corrections and Rehabilitation (CDCR)",2018-07-20,2019-01-04,168.0
Santa Barbara,110.0,Santa Barbara County Fire,2018-07-20,2019-01-04,168.0
Lake,50.0,CAL FIRE Lake-Napa Unit,2018-07-21,2019-01-04,167.0
San Luis Obispo,30.0,CAL FIRE San Luis Obispo Unit,2018-07-21,2019-01-04,167.0
San Luis Obispo,37.0,CAL FIRE San Luis Obispo Unit,2018-07-21,2019-01-04,167.0
Santa Clara,320.0,"Unified Command: CAL FIRE Santa Clara Unit and Milpitas Fire Department, CHP, Fremont FD, Milpitas PD, San Francisco Public Utilities, Santa Clara County (OES, Parks, Sheriff), South Bay Incident Management Team (Mountain View FD, San Jose FD, Santa Clara Co FD), Spring Valley Fire Department",2018-07-22,2019-01-04,166.0
Mendocino,67.0,CAL FIRE Mendocino Unit,2018-07-21,2019-01-04,167.0
Tulare,34.0,Sequoia Kings National Park,2018-07-19,2019-01-04,169.0
"Shasta, Trinity",229651.0,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area, PG&E, CHP, CAL OES, Bureau of Land Management, CCC, CDCR",2018-07-23,2018-08-30,38.0
Los Angeles,128.0,Los Angeles County Fire Department ,2018-07-23,2019-01-04,165.0
Riverside,40.0,CAL FIRE Riverside County Fire,2018-07-23,2019-01-04,165.0
Lake,36.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-09-02,2019-01-04,124.0
Shasta,51.0,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, California Highway Patrol, Shasta County Sherriff’s Office, Cal OES",2018-07-24,2019-01-04,164.0
Lassen,167.0,"CAL FIRE Lassen-Modoc Unit / Lassen National Forest, US Forest Service, BLM, Susan River FD, Susanville City FD, Janesville FD, Lake Forest FD, Sierra Army Depot, CCC, Milford FD, Lassen County Sheriff.",2018-07-24,2019-01-04,164.0
Santa Clara,20.0,CAL FIRE Santa Clara Unit,2018-07-25,2019-01-04,163.0
Contra Costa,247.0,"Unified Command: CAL FIRE Santa Clara Unit & East Contra Costa Fire, East Contra Costa Fire Protection District, Contra Costa County Fire Protection District, East Bay Regional Parks, Moraga Orinda Fire Protection District, San Ramon Valley Fire Protection District, Contra Costa County Sheriffs Office, California Highway Patrol, Contra Costa County Animal Services, Alameda County Fire Department and Marin County Fire Department.",2018-07-25,2019-01-04,163.0
San Benito,39.0,CAL FIRE San Benito-Monterey Unit,2018-07-25,2019-01-04,163.0
Alameda,34.0,CAL FIRE Santa Clara Unit,2018-07-25,2019-01-04,163.0
Mendocino,106.0,CAL FIRE Mendocino Unit,2018-08-01,2019-01-04,156.0
San Diego,365.0,Unified Command: CAL FIRE San Diego County Fire Authority and San Diego County Fire ,2018-07-27,2019-01-04,161.0
Riverside,205.0,Bureau of Indian Affairs - CAL FIRE / Riverside County Fire,2018-07-26,2019-01-04,162.0
Calaveras,136.0,CAL FIRE Tuolumne-Calaveras Unit,2018-08-05,2019-01-04,152.0
Mariposa,22.0,CAL FIRE Madera-Mariposa-Merced ,2018-08-04,2019-01-04,153.0
Alameda,30.0,CAL FIRE Santa Clara Unit,2018-08-04,2019-01-04,153.0
Kern,2950.0,Kern County Fire Department,2018-08-03,2019-01-04,154.0
"Colusa, Glenn, Lake, Mendocino",410203.0,"USFS Mendocino National Forest , Potter Valley Fire, Redwood Valley Fire, Ukiah Fire, California Office of Emergency Services, California Department of Corrections and Rehabilitation, Lake County Sheriff’s Office, Mendocino County Sheriff’s Office, Colusa County Sheriff’s Office, Glenn County Sheriff’s Office, California Highway Patrol, Pilsbury FPD, Australia and New Zealand Fire, Bureau of Land Management, Bureau of Indian Affairs, Department of Defense, US Fish and Wildlife, National Park Service, Hopland Fire, Lakeport Fire, PG&E, AT&T, California Conservation Corps, North Shore Fire, American Red Cross, Kelseyville Fire, California State Parks, Cal Water, Lake County Farm Bureau, Nevada Division of Forestry, Nevada Department of Corrections and additional agencies from throughout California and other States",2018-07-27,2019-01-04,161.0
Tulare,100.0,CAL FIRE Tulare Unit,2018-07-27,2019-01-04,161.0
"Colusa, Lake, Mendocino",48920.0,"Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest , Potter Valley Fire, Redwood Valley Fire, Ukiah Fire, California Office of Emergency Services, California Department of Corrections and Rehabilitation, California SR Patrol, Lake County Sheriff’s Office, Mendocino County Sheriff’s Office, Colusa County Sheriff’s Office, Glenn County Sheriff’s Office, California Highway Patrol, Australia and New Zealand Fire, Bureau of Land Management, Hopland Fire, Lakeport Fire, PG&E, AT&T, California Conservation Corps, and additional agencies from throughout California and other States.",2018-07-27,2019-01-04,161.0
Kern,993.0,Kern County Fire Department,2018-07-27,2019-01-04,161.0
Lassen,18703.0,Unified Command: CAL FIRE and USFS Lassen National Forest,2018-07-27,2019-01-04,161.0
,38134.0,USFS Rogue River-Siskiyou National Forest,2018-07-15,2019-01-04,173.0
Tuolumne,36450.0,Stanislaus National Forest,2018-08-01,2019-01-04,156.0
Inyo,338.0,Inyo National Forest,2018-07-31,2019-01-04,157.0
Riverside,30.0,CAL FIRE Riverside Coounty,2018-07-28,2019-01-04,160.0
San Diego,207.0,"CAL FIRE San Diego Fire Authority, MULTIPLE AGENCIES FROM NORTH ZONE, SDSO, CLEVELAND NATIONAL FOREST",2018-07-28,2019-01-04,160.0
Sutter,1200.0,Sutter County Fire Protection District,2018-07-31,2019-01-04,157.0
Napa,135.0,"CAL FIRE Sonoma-Lake-Napa Unit, Vacaville District, Vacaville City, Dixon Fire, Fairfield Fire, Winters Fire, Suisun City Fire, Napa County Fire, CDCR.",2018-07-28,2019-01-04,160.0
Mendocino,972.0,USFS Mendocino National Forest,2018-07-31,2019-01-04,157.0
Shasta,35.0,CAL FIRE Shasta-Trinity Unit,2018-07-29,2019-01-04,159.0
San Luis Obispo,51.0,CAL FIRE San Luis Obispo Unit,2018-09-16,2019-01-04,110.0
San Diego,14.0,CAL FIRE San Diego Unit,2018-08-06,2019-01-04,151.0
El Dorado,67.0,"CAL FIRE Amador - El Dorado Unit, El Dorado County Sheriff’s Office, El Dorado County Fire, US Forest Service, Diamond Springs Fire, CHP, PG&E, Santa Barbara County Fire, El Dorado County Animal Control.",2018-08-01,2019-01-04,156.0
El Dorado,66.0,"CAL FIRE Amador - El Dorado Unit, ESDO, CHP, Cosumnes FD, Sac Metro, Folsom FD, Sac City FD, Santa Barbara FD, Garden Valley FD, Georgetown FD, El Dorado County FD, Wilton FD, Rescue FD, El Dorado Hills FD, Diamond Springs FD, AFPD, USFS, PG&E",2018-08-01,2019-01-04,156.0
Placer,700.0,CAL FIRE Nevada-Yuba-Placer Unit,2018-08-01,2019-01-04,156.0
Monterey,2225.0,CAL FIRE San Benito-Monterey Unit,2018-08-06,2019-01-04,151.0
Orange,23136.0,Cleveland National Forest,2018-08-06,2019-01-04,151.0
Riverside,35.0,CAL FIRE/Riverside County Fire Department,2018-08-06,2019-01-04,151.0
Calaveras,290.0,CAL FIRE Tuolumne-Calaveras Unit,2018-08-06,2019-01-04,151.0
Plumas,117.0,USFS Plumas National Forest ,2018-08-07,2019-01-04,150.0
Kings,2995.0,Kings County Fire Department,2018-08-06,2019-01-04,151.0
Marin,45.0,Marin County Fire,1969-12-31,2019-01-04,17901.0
Kern,114.0,Kern County Fire ,2018-08-16,2019-01-04,141.0
Shasta,46150.0,USFS Shasta-Trinity National Forest,2018-08-09,2019-01-04,148.0
Riverside,23.0,CAL FIRE / Riverside County Fire,2018-08-22,2019-01-04,135.0
San Diego,250.0,CAL FIRE San Diego Unit,2018-08-09,2019-01-04,148.0
Shasta,1900.0,CAL FIRE Shasta-Trinity Unit,2018-08-09,2019-01-04,148.0
Napa,10.0,CAL FIRE Sonoma-Lake Napa Unit,2018-08-09,2019-01-04,148.0
Contra Costa,30.0,Contra Costa County Fire,2018-08-17,2019-01-04,140.0
Napa,2490.0,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire, Napa County Sheriff, California Department of Corrections, California Highway Patrol, Caltrans, OES, BLM and numerous fire agency’s from around the north region.",2018-09-08,2019-01-04,118.0
Solano,2162.0,"Unified Command: CAL FIRE Sonoma-Lake-Napa Unit, Solano County Fire",2018-08-10,2019-01-04,147.0
Kern,34.0,Kern County Fire ,2018-08-17,2019-01-04,140.0
Nevada,16.0,CAL FIRE Nevada-Yuba-Placer Unit,2018-08-12,2019-01-04,145.0
San Diego,100.0, San Diego Fire-Rescue Department,2018-08-13,2019-01-04,144.0
Monterey,650.0,CAL FIRE San Benito-Monterey Unit,2018-08-11,2019-01-04,146.0
Tulare,668.0,CAL FIRE Tulare Unit,2018-08-15,2019-01-04,142.0
Modoc,39387.0,Modoc National Forest,2018-08-15,2019-01-04,142.0
Alameda,48.0,CAL FIRE Santa Clara Unit,2018-08-26,2019-01-04,131.0
Kern,367.0,USFS Sequoia National Forest,2018-08-18,2019-01-04,139.0
Shasta,155.0,CAL FIRE Shasta-Trinity Unit,2018-08-19,2019-01-04,138.0
Santa Barbara,1014.0,USFS Los Padres National Forest,2018-08-19,2019-01-04,138.0
Riverside,10.0,CAL FIRE/Riverside County Fire Department,2018-08-19,2019-01-04,138.0
Madera,289.0,CAL FIRE Madera-Mariposa-Merced Unit,2018-08-23,2019-01-04,134.0
Riverside,32.0,CAL FIRE / Riverside County Fire,2018-08-25,2019-01-04,132.0
Madera,88.0,USFS Sierra National Forest ,2018-08-27,2019-01-04,130.0
Lake,103.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-08-26,2019-01-04,131.0
Riverside,36.0,CAL FIRE / Riverside County Fire,2018-08-27,2019-01-04,130.0
Los Angeles,166.0,Angeles National Forest,2018-09-09,2019-01-04,117.0
Lake,60.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-08-30,2019-01-04,127.0
Santa Barbara,172.0,Los Padres National Forest,2018-09-01,2019-01-04,125.0
Modoc,15.0,Modoc National Forest,2018-09-02,2019-01-04,124.0
San Bernardino,125.0,San Bernardino National Forest/San Bernardino County Fire,2018-08-31,2019-01-04,126.0
"Shasta, Trinity",63311.0,USFS Shasta-Trinity National Forest,2018-09-05,2019-01-04,121.0
Lake,24.0,CAL FIRE Sonoma-Lake-Napa Unit,2018-09-03,2019-01-04,123.0
Placer,1120.0,Tahoe National Forest,2018-09-03,2019-01-04,123.0
El Dorado,150.0,"CAL FIRE Amador-El Dorado Unit, El Dorado County Sheriffs Office, CHP, State Parks, USFS, Georgetown FD, El Dorado FD, Garden Valley FD, Mosquito FD, Diamond Springs FD, Rescue FD, Pioneer FD",2018-09-04,2019-01-04,122.0
Shasta,13.0,Shasta Lake Fire Protection District,2018-09-04,2019-01-04,122.0
Tuolumne,573.0,CAL FIRE Tuolumne-Calaveras Unit,2018-09-08,2019-01-04,118.0
Trinity,1751.0,Shasta-Trinity National Forest,2018-09-04,2019-01-04,122.0
Mono,6974.0,Humboldt-Toiyabe National Forest,2018-09-04,2019-01-04,122.0
Monterey,400.0,CAL FIRE San Benito-Monterey Unit,2018-09-13,2019-01-04,113.0
Marin,152.0,Marin County Fire,2018-09-10,2019-01-04,116.0
Kern,200.0,Kern County Fire,2018-09-12,2019-01-04,114.0
Riverside,25.0,Soboba Fire Department,2018-09-14,2019-01-04,112.0
El Dorado,12.0,"CAL FIRE Amador, El Dorado Unit",2018-09-20,2019-01-04,106.0
Los Angeles,3380.0,US Forest Service - Angeles National Forest,2018-09-22,2019-01-04,104.0
Madera,360.0,CAL FIRE Madera Mariposa Merced Unit,2018-09-22,2019-01-04,104.0
Lassen,53.0,CAL FIRE Lassen-Modoc Unit,2018-09-22,2019-01-04,104.0
Tehama,261.0,Lassen National Forest,2018-09-28,2019-01-04,98.0
Shasta,76.0,CAL FIRE Shasta-Trinity Unit,2018-09-28,2019-01-04,98.0
Santa Clara,30.0,CAL FIRE Santa Clara Unit,2018-09-23,2019-01-04,103.0
Butte,33.0,"CAL FIRE Butte Unit, Butte Creek Canyon Volunteers, Durham Volunteers, Kelly Ridge Volunteers, PG&E, CHP, Butte County Pulbic Works, BCSO.",2018-09-24,2019-01-04,102.0
San Luis Obispo,80.0,CAL FIRE San Luis Obispo Unit,2018-09-29,2019-01-04,97.0
San Bernardino,53.0,San Bernardino National Forest,2018-09-26,2019-01-04,100.0
Monterey,150.0,Fort Hunter Liggett Military Reservation,2018-10-02,2019-01-04,94.0
Fresno,32.0,Sierra National Forest,2018-10-02,2019-01-04,94.0
Tehama,3889.0,CAL FIRE Tehama-Glenn Unit,2018-10-07,2019-01-04,89.0
Santa Clara,63.0,CAL FIRE Santa Clara Unit/San Jose City Fire & South Santa Clara County FPD,2018-10-07,2019-01-04,89.0
Siskiyou,15.0,CAL FIRE Siskiyou Unit,2018-10-10,2019-01-04,86.0
Solano,160.0,Solano County Fire Protection District,2018-10-12,2019-01-04,84.0
Monterey,167.0,CAL FIRE San Benito - Monterey Unit,2018-10-13,2019-01-04,83.0
Shasta,12.0,CAL FIRE Shasta - Trinity Unit,2018-10-14,2019-01-04,82.0
Shasta,38.0,Redding City Fire,2018-10-14,2019-01-04,82.0
Butte,10.0,CAL FIRE Butte Unit,2018-10-15,2019-01-04,81.0
San Luis Obispo,58.0,CAL FIRE San Luis Obispo Unit,2018-10-19,2019-01-04,77.0
